ticker,yf_ticker,sector,industry
DAL UN,DAL,Industrials,Airlines
DAY UN,DAY,,
DD UN,DD,Basic Materials,Specialty Chemicals
DE UN,DE,Industrials,Farm & Heavy Construction Machinery
DECK UN,DECK,Consumer Cyclical,Footwear & Accessories
DELL UN,DELL,Technology,Computer Hardware
DFS UN,DFS,,
DG UN,DG,Consumer Defensive,Discount Stores
DGX UN,DGX,Healthcare,Diagnostics & Research
DHI UN,DHI,Consumer Cyclical,Residential Construction
DHR UN,DHR,Healthcare,Diagnostics & Research
DIS UN,DIS,Communication Services,Entertainment
DLR UN,DLR,Real Estate,REIT - Specialty
DLTR UW,DLTR,Consumer Defensive,Discount Stores
DOC UN,DOC,Real Estate,REIT - Healthcare Facilities
DOV UN,DOV,Industrials,Specialty Industrial Machinery
DOW UN,DOW,Basic Materials,Chemicals
DPZ UN,DPZ,Consumer Cyclical,Restaurants
DRI UN,DRI,Consumer Cyclical,Restaurants
DTE UN,DTE,Utilities,Utilities - Regulated Electric
DUK UN,DUK,Utilities,Utilities - Regulated Electric
DVA UN,DVA,Healthcare,Medical Care Facilities
DVN UN,DVN,Energy,Oil & Gas E&P
DXCM UW,DXCM,Healthcare,Medical Devices
EA UW,EA,Communication Services,Electronic Gaming & Multimedia
EBAY UW,EBAY,Consumer Cyclical,Internet Retail
ECL UN,ECL,Basic Materials,Specialty Chemicals
ED UN,ED,Utilities,Utilities - Regulated Electric
EFX UN,EFX,Industrials,Consulting Services
EG UN,EG,Financial Services,Insurance - Reinsurance
EIX UN,EIX,Utilities,Utilities - Regulated Electric
EL UN,EL,Consumer Defensive,Household & Personal Products
ELV UN,ELV,Healthcare,Healthcare Plans
EMN UN,EMN,Basic Materials,Specialty Chemicals
EMR UN,EMR,Industrials,Specialty Industrial Machinery
ENPH UQ,ENPH,Technology,Solar
EOG UN,EOG,Energy,Oil & Gas E&P
EPAM UN,EPAM,Technology,Information Technology Services
EQIX UW,EQIX,Real Estate,REIT - Specialty
EQR UN,EQR,Real Estate,REIT - Residential
EQT UN,EQT,Energy,Oil & Gas E&P
ERIE UW,ERIE,Financial Services,Insurance Brokers
ES UN,ES,Utilities,Utilities - Regulated Electric
ESS UN,ESS,Real Estate,REIT - Residential
ETN UN,ETN,Industrials,Specialty Industrial Machinery
ETR UN,ETR,Utilities,Utilities - Regulated Electric
EVRG UW,EVRG,Utilities,Utilities - Regulated Electric
EW UN,EW,Healthcare,Medical Devices
EXC UW,EXC,Utilities,Utilities - Regulated Electric
EXPD UN,EXPD,Industrials,Integrated Freight & Logistics
EXPE UW,EXPE,Consumer Cyclical,Travel Services
EXR UN,EXR,Real Estate,REIT - Industrial
F UN,F,Consumer Cyclical,Auto Manufacturers
FANG UW,FANG,Energy,Oil & Gas E&P
FAST UW,FAST,Industrials,Industrial Distribution
FCX UN,FCX,Basic Materials,Copper
FDS UN,FDS,Financial Services,Financial Data & Stock Exchanges
FDX UN,FDX,Industrials,Integrated Freight & Logistics
FE UN,FE,Utilities,Utilities - Regulated Electric
FFIV UW,FFIV,Technology,Software - Infrastructure
FICO UN,FICO,Technology,Software - Application
FIS UN,FIS,Technology,Information Technology Services
FISV UN,FISV,,
FITB UW,FITB,Financial Services,Banks - Regional
FMC UN,FMC,Basic Materials,Agricultural Inputs
FOX UW,FOX,Communication Services,Entertainment
FOXA UW,FOXA,Communication Services,Entertainment
FRT UN,FRT,Real Estate,REIT - Retail
FSLR UW,FSLR,Technology,Solar
FTNT UW,FTNT,Technology,Software - Infrastructure
FTV UN,FTV,Technology,Scientific & Technical Instruments
GD UN,GD,Industrials,Aerospace & Defense
GDDY UN,GDDY,Technology,Software - Infrastructure
GE UN,GE,Industrials,Aerospace & Defense
GEHC UW,GEHC,Healthcare,Medical Devices
GEN UW,GEN,Technology,Software - Infrastructure
GEV UN,GEV,Industrials,Specialty Industrial Machinery
GILD UW,GILD,Healthcare,Drug Manufacturers - General
GIS UN,GIS,Consumer Defensive,Packaged Foods
GL UN,GL,Financial Services,Insurance - Life
GLW UN,GLW,Technology,Electronic Components
GM UN,GM,Consumer Cyclical,Auto Manufacturers
GNRC UN,GNRC,Industrials,Specialty Industrial Machinery
GOOG UW,GOOG,Communication Services,Internet Content & Information
GOOGL UW,GOOGL,Communication Services,Internet Content & Information
GPC UN,GPC,Consumer Cyclical,Auto Parts
GPN UN,GPN,Industrials,Specialty Business Services
GRMN UN,GRMN,Technology,Scientific & Technical Instruments
GS UN,GS,Financial Services,Capital Markets
GWW UN,GWW,Industrials,Industrial Distribution
HAL UN,HAL,Energy,Oil & Gas Equipment & Services
HAS UW,HAS,Consumer Cyclical,Leisure
HBAN UW,HBAN,Financial Services,Banks - Regional
HCA UN,HCA,Healthcare,Medical Care Facilities
HD UN,HD,Consumer Cyclical,Home Improvement Retail
HES UN,HES,,
HIG UN,HIG,Financial Services,Insurance - Diversified
HII UN,HII,Industrials,Aerospace & Defense
HLT UN,HLT,Consumer Cyclical,Lodging
HOLX UW,HOLX,,
HON UW,HON,Industrials,Conglomerates
HPE UN,HPE,Technology,Communication Equipment
HPQ UN,HPQ,Technology,Computer Hardware
HRL UN,HRL,Consumer Defensive,Packaged Foods
HSIC UW,HSIC,Healthcare,Medical Distribution
HST UW,HST,Real Estate,REIT - Hotel & Motel
HSY UN,HSY,Consumer Defensive,Confectioners
HUBB UN,HUBB,Industrials,Electrical Equipment & Parts
HUM UN,HUM,Healthcare,Healthcare Plans
HWM UN,HWM,Industrials,Aerospace & Defense
IBM UN,IBM,Technology,Information Technology Services
ICE UN,ICE,Financial Services,Financial Data & Stock Exchanges
IDXX UW,IDXX,Healthcare,Diagnostics & Research
IEX UN,IEX,Industrials,Specialty Industrial Machinery
IFF UN,IFF,Basic Materials,Specialty Chemicals
INCY UW,INCY,Healthcare,Biotechnology
INTC UW,INTC,Technology,Semiconductors
INTU UW,INTU,Technology,Software - Application
INVH UN,INVH,Real Estate,REIT - Residential
IP UN,IP,Consumer Cyclical,Packaging & Containers
IPG UN,IPG,,
IQV UN,IQV,Healthcare,Diagnostics & Research
IR UN,IR,Industrials,Specialty Industrial Machinery
IRM UN,IRM,Real Estate,REIT - Specialty
ISRG UW,ISRG,Healthcare,Medical Instruments & Supplies
IT UN,IT,Technology,Information Technology Services
ITW UN,ITW,Industrials,Specialty Industrial Machinery
IVZ UN,IVZ,Financial Services,Asset Management
J UN,J,Industrials,Engineering & Construction
JBHT UW,JBHT,Industrials,Integrated Freight & Logistics
JBL UN,JBL,Technology,Electronic Components
JCI UN,JCI,Industrials,Building Products & Equipment
JKHY UW,JKHY,Technology,Information Technology Services
JNJ UN,JNJ,Healthcare,Drug Manufacturers - General
JNPR UN,JNPR,,
JPM UN,JPM,Financial Services,Banks - Diversified
K UN,K,,
KDP UW,KDP,Consumer Defensive,Beverages - Non-Alcoholic
KEY UN,KEY,Financial Services,Banks - Regional
KEYS UN,KEYS,Technology,Scientific & Technical Instruments
KHC UW,KHC,Consumer Defensive,Packaged Foods
KIM UN,KIM,Real Estate,REIT - Retail
KKR UN,KKR,Financial Services,Asset Management
KLAC UW,KLAC,Technology,Semiconductor Equipment & Materials
KMB UN,KMB,Consumer Defensive,Household & Personal Products
KMI UN,KMI,Energy,Oil & Gas Midstream
KMX UN,KMX,Consumer Cyclical,Auto & Truck Dealerships
KO UN,KO,Consumer Defensive,Beverages - Non-Alcoholic
KR UN,KR,Consumer Defensive,Grocery Stores
KVUE UN,KVUE,Consumer Defensive,Household & Personal Products
L UN,L,Financial Services,Insurance - Property & Casualty
LDOS UN,LDOS,Technology,Information Technology Services
LEN UN,LEN,Consumer Cyclical,Residential Construction
LH UN,LH,Healthcare,Diagnostics & Research
LHX UN,LHX,Industrials,Aerospace & Defense
LII UN,LII,Industrials,Building Products & Equipment
LIN UW,LIN,Basic Materials,Specialty Chemicals
LKQ UW,LKQ,Consumer Cyclical,Auto Parts
LLY UN,LLY,Healthcare,Drug Manufacturers - General
LMT UN,LMT,Industrials,Aerospace & Defense
LNT UW,LNT,Utilities,Utilities - Regulated Electric
LOW UN,LOW,Consumer Cyclical,Home Improvement Retail
LRCX UW,LRCX,Technology,Semiconductor Equipment & Materials
LULU UW,LULU,Consumer Cyclical,Apparel Retail
LUV UN,LUV,Industrials,Airlines
LVS UN,LVS,Consumer Cyclical,Resorts & Casinos
LW UN,LW,Consumer Defensive,Packaged Foods
LYB UN,LYB,Basic Materials,Specialty Chemicals
LYV UN,LYV,Communication Services,Entertainment
MA UN,MA,Financial Services,Credit Services
MAA UN,MAA,Real Estate,REIT - Residential
MAR UW,MAR,Consumer Cyclical,Lodging
MAS UN,MAS,Industrials,Building Products & Equipment
MCD UN,MCD,Consumer Cyclical,Restaurants
MCHP UW,MCHP,Technology,Semiconductors
MCK UN,MCK,Healthcare,Medical Distribution
MCO UN,MCO,Financial Services,Financial Data & Stock Exchanges
MDLZ UW,MDLZ,Consumer Defensive,Confectioners
MDT UN,MDT,Healthcare,Medical Devices
MET UN,MET,Financial Services,Insurance - Life
META UW,META,Communication Services,Internet Content & Information
MGM UN,MGM,Consumer Cyclical,Resorts & Casinos
MHK UN,MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MKC UN,MKC,Consumer Defensive,Packaged Foods
MKTX UW,MKTX,Financial Services,Capital Markets
MLM UN,MLM,Basic Materials,Building Materials
MMM UN,MMM,Industrials,Conglomerates
MNST UW,MNST,Consumer Defensive,Beverages - Non-Alcoholic
MO UN,MO,Consumer Defensive,Tobacco
MOH UN,MOH,Healthcare,Healthcare Plans
MOS UN,MOS,Basic Materials,Agricultural Inputs
MPC UN,MPC,Energy,Oil & Gas Refining & Marketing
MPWR UW,MPWR,Technology,Semiconductors
MRK UN,MRK,Healthcare,Drug Manufacturers - General
MRNA UW,MRNA,Healthcare,Biotechnology
MRSH UN,MRSH,Financial Services,Insurance Brokers
MS UN,MS,Financial Services,Capital Markets
MSCI UN,MSCI,Financial Services,Financial Data & Stock Exchanges
MSFT UW,MSFT,Technology,Software - Infrastructure
MSI UN,MSI,Technology,Communication Equipment
MTB UN,MTB,Financial Services,Banks - Regional
MTCH UW,MTCH,Communication Services,Internet Content & Information
MTD UN,MTD,Healthcare,Diagnostics & Research
MU UW,MU,Technology,Semiconductors
NCLH UN,NCLH,Consumer Cyclical,Travel Services
NDAQ UW,NDAQ,Financial Services,Financial Data & Stock Exchanges
NDSN UW,NDSN,Industrials,Specialty Industrial Machinery
NEE UN,NEE,Utilities,Utilities - Regulated Electric
NEM UN,NEM,Basic Materials,Gold
NFLX UW,NFLX,Communication Services,Entertainment
NI UN,NI,Utilities,Utilities - Regulated Gas
NKE UN,NKE,Consumer Cyclical,Footwear & Accessories
NOC UN,NOC,Industrials,Aerospace & Defense
NOW UN,NOW,Technology,Software - Application
NRG UN,NRG,Utilities,Utilities - Independent Power Producers
NSC UN,NSC,Industrials,Railroads
NTAP UW,NTAP,Technology,Software - Infrastructure
